normalized,stemmed text,token_count,stemmed_list,polarity_score,polarity,polarity_num
"['jakarta', 'moda', 'sarana', 'transportasi', 'publik', 'iklankan', 'media', 'masyarakat', 'familiar', 'di', 'tingkat', 'kan', 'sarana', 'pelayanannya', 'moda', 'transportasi', 'publik', 'nyaman', 'masyarakat', 'beralih', 'moda', 'transport', 'pribadi', 'sarana', 'moda', 'transportasi', 'publik', 'kerja', 'solid', 'kunci', 'membentuk', 'layanan', 'moda', 'transportasi', 'tangguh', 'berkelas', 'hormat', 'andri', 'terima', 'kasih']","['jakarta', 'moda', 'sarana', 'transportasi', 'publik', 'iklan', 'media', 'masyarakat', 'familiar', 'di', 'tingkat', 'kan', 'sarana', 'layan', 'moda', 'transportasi', 'publik', 'nyaman', 'masyarakat', 'alih', 'moda', 'transport', 'pribadi', 'sarana', 'moda', 'transportasi', 'publik', 'kerja', 'solid', 'kunci', 'bentuk', 'layan', 'moda', 'transportasi', 'tangguh', 'kelas', 'hormat', 'andri', 'terima', 'kasih']",412,"['jakarta', 'moda', 'sarana', 'transportasi', 'publik', 'iklan', 'media', 'masyarakat', 'familiar', 'di', 'tingkat', 'kan', 'sarana', 'layan', 'moda', 'transportasi', 'publik', 'nyaman', 'masyarakat', 'alih', 'moda', 'transport', 'pribadi', 'sarana', 'moda', 'transportasi', 'publik', 'kerja', 'solid', 'kunci', 'bentuk', 'layan', 'moda', 'transportasi', 'tangguh', 'kelas', 'hormat', 'andri', 'terima', 'kasih']",26,Positive,1
"['kode', 'refeal', 'pembaruan', 'tambahkan', 'alarm', 'kedatangan', 'tujuan']","['kode', 'refeal', 'baru', 'tambah', 'alarm', 'datang', 'tuju']",63,"['kode', 'refeal', 'baru', 'tambah', 'alarm', 'datang', 'tuju']",-1,Negative,-1
"['aplikasi', 'nya', 'terkadang', 'lihat', 'jadwal', 'perjalanan', 'keluar']","['aplikasi', 'nya', 'terkadang', 'lihat', 'jadwal', 'jalan', 'keluar']",70,"['aplikasi', 'nya', 'terkadang', 'lihat', 'jadwal', 'jalan', 'keluar']",-1,Negative,-1
"['perjalanan', 'cepat', 'terima', 'kasih']","['jalan', 'cepat', 'terima', 'kasih']",37,"['jalan', 'cepat', 'terima', 'kasih']",7,Positive,1
"['semoga', 'lancar', 'berubah', 'penilaian', 'menemukan']","['moga', 'lancar', 'ubah', 'nilai', 'temu']",43,"['moga', 'lancar', 'ubah', 'nilai', 'temu']",12,Positive,1
"['keren', 'aman', 'nyaman', 'mahal', 'adakan', 'promo']","['keren', 'aman', 'nyaman', 'mahal', 'adakan', 'promo']",55,"['keren', 'aman', 'nyaman', 'mahal', 'adakan', 'promo']",8,Positive,1
"['lelah', 'turun', 'platform', 'jabodetabek', 'khalayak', 'bermacammacam', 'jakarta', 'aman', 'masuk', 'gerbong', 'platform', 'datar', 'penumpang', 'memperhatikan', 'kesehatan', 'protokol', 'kesehatan', 'setara', 'orang', 'kantoran', 'tujuan', 'membayar', 'mahal', 'mobil', 'online', 'perasaan', 'amana', 'nyaman', 'lansia', 'usia', 'lelah', 'bepergian', 'terima', 'kasih', 'jakarta']","['lelah', 'turun', 'platform', 'jabodetabek', 'khalayak', 'bermacammacam', 'jakarta', 'aman', 'masuk', 'gerbong', 'platform', 'datar', 'tumpang', 'perhati', 'sehat', 'protokol', 'sehat', 'tara', 'orang', 'kantor', 'tuju', 'bayar', 'mahal', 'mobil', 'online', 'asa', 'amana', 'nyaman', 'lansia', 'usia', 'lelah', 'pergi', 'terima', 'kasih', 'jakarta']",350,"['lelah', 'turun', 'platform', 'jabodetabek', 'khalayak', 'bermacammacam', 'jakarta', 'aman', 'masuk', 'gerbong', 'platform', 'datar', 'tumpang', 'perhati', 'sehat', 'protokol', 'sehat', 'tara', 'orang', 'kantor', 'tuju', 'bayar', 'mahal', 'mobil', 'online', 'asa', 'amana', 'nyaman', 'lansia', 'usia', 'lelah', 'pergi', 'terima', 'kasih', 'jakarta']",37,Positive,1
"['semoga', 'rute', 'jakarta', 'rumah', 'kantor', 'pasar', 'pusat', 'perbelanjaan', 'bengkel', 'hanya', 'perlu', 'beroperasi', 'kaki', 'sebentar', 'langsung', 'tujuan', 'moda', 'transportasi', 'menunggu']","['moga', 'rute', 'jakarta', 'rumah', 'kantor', 'pasar', 'pusat', 'belanja', 'bengkel', 'hanya', 'perlu', 'operasi', 'kaki', 'sebentar', 'langsung', 'tuju', 'moda', 'transportasi', 'tunggu']",189,"['moga', 'rute', 'jakarta', 'rumah', 'kantor', 'pasar', 'pusat', 'belanja', 'bengkel', 'hanya', 'perlu', 'operasi', 'kaki', 'sebentar', 'langsung', 'tuju', 'moda', 'transportasi', 'tunggu']",16,Positive,1
"['keren', 'canggih', 'lucu', 'aman', 'tertib', 'bersih', 'nyaman', 'ramah', 'disabilitas', 'cepat', 'indonesia', 'maju', 'wifi', 'fasilitas', 'lengkap', 'kereeeeeeeeeeen', 'sekaliiiiiiiiiiiiiiii']","['keren', 'canggih', 'lucu', 'aman', 'tertib', 'bersih', 'nyaman', 'ramah', 'disabilitas', 'cepat', 'indonesia', 'maju', 'wifi', 'fasilitas', 'lengkap', 'kereeeeeeeeeeen', 'sekaliiiiiiiiiiiiiiii']",196,"['keren', 'canggih', 'lucu', 'aman', 'tertib', 'bersih', 'nyaman', 'ramah', 'disabilitas', 'cepat', 'indonesia', 'maju', 'wifi', 'fasilitas', 'lengkap', 'kereeeeeeeeeeen', 'sekaliiiiiiiiiiiiiiii']",23,Positive,1
"['terima', 'kasih', 'jakarta', 'pelayanan', 'terbaik', 'singkatnya', 'mati', 'stistora', 'mandiri', 'gagal', 'saldo', 'emoneyjadinya', 'cindy', 'petugas', 'stistora', 'mandiri', 'menawarkan', 'charge', 'telepon', 'genggam', 'menit', 'begitu', 'jaringan', 'hpku', 'hilang', 'kakaknya', 'nawarin', 'hotspot', 'karena', 'wifi', 'masuk', 'aplikasi', 'lama', 'alhamdulillah', 'pulang', 'karena', 'pelayanannya', 'angkat', 'cindy', 'organik', 'orang', 'pelayanannya', 'maksimal']","['terima', 'kasih', 'jakarta', 'layan', 'baik', 'singkat', 'mati', 'stistora', 'mandiri', 'gagal', 'saldo', 'emoneyjadinya', 'cindy', 'tugas', 'stistora', 'mandiri', 'tawar', 'charge', 'telepon', 'genggam', 'menit', 'begitu', 'jaring', 'hpku', 'hilang', 'kakak', 'nawarin', 'hotspot', 'karena', 'wifi', 'masuk', 'aplikasi', 'lama', 'alhamdulillah', 'pulang', 'karena', 'layan', 'angkat', 'cindy', 'organik', 'orang', 'layan', 'maksimal']",437,"['terima', 'kasih', 'jakarta', 'layan', 'baik', 'singkat', 'mati', 'stistora', 'mandiri', 'gagal', 'saldo', 'emoneyjadinya', 'cindy', 'tugas', 'stistora', 'mandiri', 'tawar', 'charge', 'telepon', 'genggam', 'menit', 'begitu', 'jaring', 'hpku', 'hilang', 'kakak', 'nawarin', 'hotspot', 'karena', 'wifi', 'masuk', 'aplikasi', 'lama', 'alhamdulillah', 'pulang', 'karena', 'layan', 'angkat', 'cindy', 'organik', 'orang', 'layan', 'maksimal']",1,Positive,1
"['bersih', 'nyaman', 'keamanan', 'bagus', 'semoga', 'nambah', 'rute', 'kota', 'bogor']","['bersih', 'nyaman', 'aman', 'bagus', 'moga', 'nambah', 'rute', 'kota', 'bogor']",80,"['bersih', 'nyaman', 'aman', 'bagus', 'moga', 'nambah', 'rute', 'kota', 'bogor']",8,Positive,1
"['bagus', 'nyaman']","['bagus', 'nyaman']",19,"['bagus', 'nyaman']",6,Positive,1
"['aplikasi', 'bagus', 'memudahkan', 'perjalanan', 'jakarta']","['aplikasi', 'bagus', 'mudah', 'jalan', 'jakarta']",50,"['aplikasi', 'bagus', 'mudah', 'jalan', 'jakarta']",2,Positive,1
"['menyenangkan', 'nyaman', 'bersih', 'penjaga', 'ramah', 'membantu']","['senang', 'nyaman', 'bersih', 'jaga', 'ramah', 'bantu']",56,"['senang', 'nyaman', 'bersih', 'jaga', 'ramah', 'bantu']",19,Positive,1
"['bagus', 'nyaman', 'sejuk', 'nyaman', 'mudah', 'pemesan', 'tiket', 'ulang', 'jakarta', 'juni']","['bagus', 'nyaman', 'sejuk', 'nyaman', 'mudah', 'mes', 'tiket', 'ulang', 'jakarta', 'juni']",91,"['bagus', 'nyaman', 'sejuk', 'nyaman', 'mudah', 'mes', 'tiket', 'ulang', 'jakarta', 'juni']",14,Positive,1
"['bagus', 'sekali', 'aplikasi', 'nya', 'berisi', 'informasi', 'dimengerti']","['bagus', 'sekali', 'aplikasi', 'nya', 'isi', 'informasi', 'erti']",66,"['bagus', 'sekali', 'aplikasi', 'nya', 'isi', 'informasi', 'erti']",3,Positive,1
"['kereta', 'aplikasi', 'antarmukanya', 'pertahankan']","['kereta', 'aplikasi', 'antarmuka', 'tahan']",44,"['kereta', 'aplikasi', 'antarmuka', 'tahan']",-7,Negative,-1
"['kartu', 'pembayaran', 'elektronik', 'sederhana', 'mudah']","['kartu', 'bayar', 'elektronik', 'sederhana', 'mudah']",54,"['kartu', 'bayar', 'elektronik', 'sederhana', 'mudah']",8,Positive,1
"['bagus', 'aplikasi', 'nya', 'tingkatkan', 'pelayanan', 'kereta', 'mrtnya']","['bagus', 'aplikasi', 'nya', 'tingkat', 'layan', 'kereta', 'mrtnya']",68,"['bagus', 'aplikasi', 'nya', 'tingkat', 'layan', 'kereta', 'mrtnya']",-3,Negative,-1
"['belum', 'coba', 'semoga', 'aplikasi', 'nya', 'mempermudah', 'perjalanan']","['belum', 'coba', 'moga', 'aplikasi', 'nya', 'mudah', 'jalan']",62,"['belum', 'coba', 'moga', 'aplikasi', 'nya', 'mudah', 'jalan']",3,Positive,1
"['seneng', 'bersih', 'ontime', 'jugaaa', 'terintegrasi', 'moda', 'jaklingko']","['neng', 'bersih', 'ontime', 'jugaaa', 'integrasi', 'moda', 'jaklingko']",72,"['neng', 'bersih', 'ontime', 'jugaaa', 'integrasi', 'moda', 'jaklingko']",8,Positive,1
"['transportasi', 'terbaru', 'jakarta', 'rute', 'lebak', 'bulus', 'tujuan', 'bundaran', 'arah', 'bundaran', 'tujuan', 'lebak', 'bulus']","['transportasi', 'baru', 'jakarta', 'rute', 'lebak', 'bulus', 'tuju', 'bundar', 'arah', 'bundar', 'tuju', 'lebak', 'bulus']",123,"['transportasi', 'baru', 'jakarta', 'rute', 'lebak', 'bulus', 'tuju', 'bundar', 'arah', 'bundar', 'tuju', 'lebak', 'bulus']",-1,Negative,-1
"['mudahan', 'daerah', 'bekasi', 'cepat', 'rampung', 'macet']","['mudah', 'daerah', 'bekas', 'cepat', 'rampung', 'macet']",57,"['mudah', 'daerah', 'bekas', 'cepat', 'rampung', 'macet']",14,Positive,1
"['aplikasi', 'mudah', 'sederhana', 'terima', 'kasih', 'anies']","['aplikasi', 'mudah', 'sederhana', 'terima', 'kasih', 'anies']",62,"['aplikasi', 'mudah', 'sederhana', 'terima', 'kasih', 'anies']",7,Positive,1
"['mudahan', 'berguna', 'aplikasi', 'terima', 'kasih', 'sukses']","['mudah', 'guna', 'aplikasi', 'terima', 'kasih', 'sukses']",58,"['mudah', 'guna', 'aplikasi', 'terima', 'kasih', 'sukses']",8,Positive,1
"['bagus', 'mudah', 'beli', 'tiket', 'nonton', 'film', 'gratis', 'perjalanan']","['bagus', 'mudah', 'beli', 'tiket', 'nonton', 'film', 'gratis', 'jalan']",72,"['bagus', 'mudah', 'beli', 'tiket', 'nonton', 'film', 'gratis', 'jalan']",12,Positive,1
"['aplikasi', 'penilaian', 'berubah']","['aplikasi', 'nilai', 'ubah']",29,"['aplikasi', 'nilai', 'ubah']",1,Positive,1
"['dear', 'mrtj', 'teamtolong', 'tambahkan', 'fitur', 'riwayat', 'fitur', 'saldo', 'multi', 'tripterima', 'kasihsemangat', 'tim']","['dear', 'mrtj', 'teamtolong', 'tambah', 'fitur', 'riwayat', 'fitur', 'saldo', 'multi', 'tripterima', 'kasihsemangat', 'tim']",125,"['dear', 'mrtj', 'teamtolong', 'tambah', 'fitur', 'riwayat', 'fitur', 'saldo', 'multi', 'tripterima', 'kasihsemangat', 'tim']",3,Positive,1
"['aplikasi', 'membantu', 'memudahkan', 'pembayaran', 'transaksi']","['aplikasi', 'bantu', 'mudah', 'bayar', 'transaksi']",52,"['aplikasi', 'bantu', 'mudah', 'bayar', 'transaksi']",8,Positive,1
"['bagus', 'lolos', 'tiket', 'memindai', 'masuk']","['bagus', 'lolos', 'tiket', 'pindai', 'masuk']",46,"['bagus', 'lolos', 'tiket', 'pindai', 'masuk']",-5,Negative,-1
"['transportasi', 'modern', 'cepat', 'mudah', 'terjangkau']","['transportasi', 'modern', 'cepat', 'mudah', 'jangkau']",55,"['transportasi', 'modern', 'cepat', 'mudah', 'jangkau']",10,Positive,1
"['menunjang', 'transportasi', 'handal', 'solusi', 'mencegah', 'bertambahnya', 'kemacetan']","['tunjang', 'transportasi', 'handal', 'solusi', 'cegah', 'tambah', 'macet']",75,"['tunjang', 'transportasi', 'handal', 'solusi', 'cegah', 'tambah', 'macet']",11,Positive,1
"['aplikasi', 'memudahkan', 'membeli', 'tiket', 'perjalanan', 'informasi', 'status', 'perjalanan', 'tersedia']","['aplikasi', 'mudah', 'beli', 'tiket', 'jalan', 'informasi', 'status', 'jalan', 'sedia']",88,"['aplikasi', 'mudah', 'beli', 'tiket', 'jalan', 'informasi', 'status', 'jalan', 'sedia']",6,Positive,1
"['hmmm', 'unduh', 'sudah', 'telanjur', 'beli', 'tiket', 'multitrip']","['hmmm', 'unduh', 'sudah', 'telanjur', 'beli', 'tiket', 'multitrip']",68,"['hmmm', 'unduh', 'sudah', 'telanjur', 'beli', 'tiket', 'multitrip']",5,Positive,1
"['bagus', 'sekali', 'aplikasi', 'nya', 'mempermudah', 'pemesanan', 'jakarta']","['bagus', 'sekali', 'aplikasi', 'nya', 'mudah', 'mesan', 'jakarta']",67,"['bagus', 'sekali', 'aplikasi', 'nya', 'mudah', 'mesan', 'jakarta']",1,Positive,1
"['riwayat', 'tiket', 'date', 'terbaru', 'mohon', 'tanggal', 'keberangkatan', 'kedatangan', 'dihilangkan']","['riwayat', 'tiket', 'date', 'baru', 'mohon', 'tanggal', 'berangkat', 'datang', 'hilang']",89,"['riwayat', 'tiket', 'date', 'baru', 'mohon', 'tanggal', 'berangkat', 'datang', 'hilang']",-7,Negative,-1
"['semoga', 'aplikasi', 'mempermudah', 'gerak', 'kegiatan', 'warga', 'jakart']","['moga', 'aplikasi', 'mudah', 'gerak', 'giat', 'warga', 'jakart']",65,"['moga', 'aplikasi', 'mudah', 'gerak', 'giat', 'warga', 'jakart']",1,Positive,1
"['membantu', 'perjalanan', 'nyaman', 'bersih']","['bantu', 'jalan', 'nyaman', 'bersih']",38,"['bantu', 'jalan', 'nyaman', 'bersih']",7,Positive,1
"['benar', 'menghemat', 'tenaga', 'berjibaku', 'kejar', 'busway', 'kereta', 'terima', 'kasih']","['benar', 'hemat', 'tenaga', 'jibaku', 'kejar', 'busway', 'kereta', 'terima', 'kasih']",86,"['benar', 'hemat', 'tenaga', 'jibaku', 'kejar', 'busway', 'kereta', 'terima', 'kasih']",6,Positive,1
"['nyaman', 'pelayanan', 'memuasan']","['nyaman', 'layan', 'muas']",27,"['nyaman', 'layan', 'muas']",11,Positive,1
"['aplikasi', 'memudahkan', 'sekali', 'beroperasi', 'menyesal', 'donloadnya']","['aplikasi', 'mudah', 'sekali', 'operasi', 'sesal', 'donloadnya']",65,"['aplikasi', 'mudah', 'sekali', 'operasi', 'sesal', 'donloadnya']",1,Positive,1
"['bagus', 'terbantu', 'tujuan']","['bagus', 'bantu', 'tuju']",26,"['bagus', 'bantu', 'tuju']",8,Positive,1
"['transportasi', 'publik', 'nyaman', 'cepat']","['transportasi', 'publik', 'nyaman', 'cepat']",45,"['transportasi', 'publik', 'nyaman', 'cepat']",7,Positive,1
"['bagus', 'mudah', 'pembayaran']","['bagus', 'mudah', 'bayar']",27,"['bagus', 'mudah', 'bayar']",7,Positive,1
"['pertahankan', 'kebersihan', 'tingkatkan', 'fasilitas', 'stasiun', 'pemberhentian', 'amin']","['tahan', 'bersih', 'tingkat', 'fasilitas', 'stasiun', 'henti', 'amin']",71,"['tahan', 'bersih', 'tingkat', 'fasilitas', 'stasiun', 'henti', 'amin']",3,Positive,1
"['mudah', 'praktis']","['mudah', 'praktis']",20,"['mudah', 'praktis']",8,Positive,1
"['keren', 'sekali', 'membantubanyak', 'hadiah', 'give', 'awaynya']","['keren', 'sekali', 'membantubanyak', 'hadiah', 'give', 'awaynya']",66,"['keren', 'sekali', 'membantubanyak', 'hadiah', 'give', 'awaynya']",3,Positive,1
"['unduh', 'coba', 'fitur']","['unduh', 'coba', 'fitur']",26,"['unduh', 'coba', 'fitur']",2,Positive,1
"['luar', 'biasa', 'semoga', 'dipertahankan', 'pelayanannya']","['luar', 'biasa', 'moga', 'tahan', 'layan']",43,"['luar', 'biasa', 'moga', 'tahan', 'layan']",6,Positive,1
"['kerenga', 'nyangka', 'indonesia', 'keren']","['kerenga', 'nyangka', 'indonesia', 'keren']",44,"['kerenga', 'nyangka', 'indonesia', 'keren']",-3,Negative,-1
"['perjalanan', 'cepat', 'nyaman']","['jalan', 'cepat', 'nyaman']",28,"['jalan', 'cepat', 'nyaman']",7,Positive,1
"['bagus', 'layanan', 'cepat', 'tujuan']","['bagus', 'layan', 'cepat', 'tuju']",35,"['bagus', 'layan', 'cepat', 'tuju']",10,Positive,1
"['bagus', 'semoga', 'di', 'tingkat', 'kan']","['bagus', 'moga', 'di', 'tingkat', 'kan']",41,"['bagus', 'moga', 'di', 'tingkat', 'kan']",4,Positive,1
"['bagus', 'memesan', 'tiket', 'faham']","['bagus', 'mes', 'tiket', 'faham']",34,"['bagus', 'mes', 'tiket', 'faham']",2,Positive,1
"['membantu', 'sekali', 'beli', 'tiket', 'bawa', 'kartu']","['bantu', 'sekali', 'beli', 'tiket', 'bawa', 'kartu']",53,"['bantu', 'sekali', 'beli', 'tiket', 'bawa', 'kartu']",5,Positive,1
"['kenyamanan', 'ketepatan']","['nyaman', 'tepat']",19,"['nyaman', 'tepat']",4,Positive,1
"['serba', 'instan', 'suka', 'sekali']","['serba', 'instan', 'suka', 'sekali']",37,"['serba', 'instan', 'suka', 'sekali']",2,Positive,1
"['membantu', 'proses', 'transaksi', 'perjalanan']","['bantu', 'proses', 'transaksi', 'jalan']",41,"['bantu', 'proses', 'transaksi', 'jalan']",8,Positive,1
"['bagus', 'perjalanan', 'cepat']","['bagus', 'jalan', 'cepat']",27,"['bagus', 'jalan', 'cepat']",5,Positive,1
"['kode', 'muncul', 'sudah', 'ulang']","['kode', 'muncul', 'sudah', 'ulang']",36,"['kode', 'muncul', 'sudah', 'ulang']",1,Positive,1
"['membantu', 'mempermudah', 'perjalanan']","['bantu', 'mudah', 'jalan']",27,"['bantu', 'mudah', 'jalan']",7,Positive,1
"['tempatnya', 'bersih', 'nyaman', 'mantap', 'sekali', 'intinya']","['tempat', 'bersih', 'nyaman', 'mantap', 'sekali', 'inti']",58,"['tempat', 'bersih', 'nyaman', 'mantap', 'sekali', 'inti']",5,Positive,1
